"site","plot_no","reading","light","canopy_openness","P_ID"
"Manamboli_Upper",21,3,1084,6,"Manamboli_Upper_21"
"Manamboli_Upper",21,4,1872,9,"Manamboli_Upper_21"
"Manamboli_Upper",22,1,525,6,"Manamboli_Upper_22"
"Manamboli_Upper",22,2,1060,6,"Manamboli_Upper_22"
"Manamboli_Upper",22,3,1488,1,"Manamboli_Upper_22"
"Manamboli_Upper",22,4,1826,2,"Manamboli_Upper_22"
"Manamboli_Upper",23,1,690,2,"Manamboli_Upper_23"
"Manamboli_Upper",23,2,595,4,"Manamboli_Upper_23"
"Manamboli_Upper",23,3,358,6,"Manamboli_Upper_23"
"Manamboli_Upper",23,4,272,3,"Manamboli_Upper_23"
"Manamboli_Upper",24,1,1056,8,"Manamboli_Upper_24"
"Manamboli_Upper",24,2,348,8,"Manamboli_Upper_24"
"Manamboli_Upper",24,3,94.6,6,"Manamboli_Upper_24"
"Manamboli_Upper",24,4,88.6,10,"Manamboli_Upper_24"
"Manamboli_Upper",25,1,56.1,4,"Manamboli_Upper_25"
"Manamboli_Upper",25,2,90.4,3,"Manamboli_Upper_25"
"Manamboli_Upper",25,3,178,3,"Manamboli_Upper_25"
"Manamboli_Upper",25,4,238,4,"Manamboli_Upper_25"
"Old_Valparai",1,1,680,4,"Old_Valparai_1"
"Old_Valparai",1,2,5360,46,"Old_Valparai_1"
"Old_Valparai",1,3,700,5,"Old_Valparai_1"
"Old_Valparai",1,4,630,2,"Old_Valparai_1"
"Old_Valparai",2,1,3480,3,"Old_Valparai_2"
"Old_Valparai",2,2,4940,5,"Old_Valparai_2"
"Old_Valparai",2,3,3410,2,"Old_Valparai_2"
"Old_Valparai",2,4,4730,2,"Old_Valparai_2"
"Old_Valparai",3,1,3580,7,"Old_Valparai_3"
"Old_Valparai",3,2,5350,4,"Old_Valparai_3"
"Old_Valparai",3,3,1450,6,"Old_Valparai_3"
"Old_Valparai",3,4,6850,4,"Old_Valparai_3"
"Old_Valparai",4,1,11820,8,"Old_Valparai_4"
"Old_Valparai",4,2,5610,1,"Old_Valparai_4"
"Old_Valparai",4,3,1790,4,"Old_Valparai_4"
"Old_Valparai",4,4,2870,5,"Old_Valparai_4"
"Old_Valparai",5,1,785,2,"Old_Valparai_5"
"Old_Valparai",5,2,780,2,"Old_Valparai_5"
"Old_Valparai",5,3,803,4,"Old_Valparai_5"
"Old_Valparai",5,4,1410,2,"Old_Valparai_5"
"Old_Valparai",6,1,810,4,"Old_Valparai_6"
"Old_Valparai",6,2,930,2,"Old_Valparai_6"
"Old_Valparai",6,3,1890,3,"Old_Valparai_6"
"Old_Valparai",6,4,1780,3,"Old_Valparai_6"
"Old_Valparai",7,1,380,3,"Old_Valparai_7"
"Old_Valparai",7,2,570,2,"Old_Valparai_7"
"Old_Valparai",7,3,560,6,"Old_Valparai_7"
