"group","old_code","osuri_code","current_code","original_name","original_fullname","original_family","GBIFname","key","matchType","confidence","status","rank","kingdom","phylum","class","order","family","genus","species","canonicalName","authorship","scientificName"
"liana","Con scl","NA","Con scl","Connarus sclerocarpus","Connarus  sclerocarpus (Wight & Arn.) Schellenb.","Connaraceae","Connarus sclerocarpus (Wight & Arn.) Schellenb.",3687221,"EXACT",99,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Oxalidales","Connaraceae","Connarus","Connarus sclerocarpus","Connarus sclerocarpus","(Wight & Arn.) Schellenb.","Connarus sclerocarpus"
"liana","Cos rac","NA","Cos rac","Cosmostigma racemosum","Cosmostigma racemosum (Roxb.) Wight ","Asclepiadaceae","Cosmostigma racemosum (Roxb.) Wight",8006096,"EXACT",99,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","Cosmostigma","Cosmostigma racemosum","Cosmostigma racemosum","(Roxb.) Wight","Cosmostigma racemosum"
"liana","Cro cau","NA","Cro cau","Croton caudatus","Croton caudatus Geiseler","Euphorbiaceae","Croton caudatus Geiseler",3057531,"EXACT",99,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Croton","Croton caudatus","Croton caudatus","Geiseler","Croton caudatus"
"liana","Der ben","NA","Der ben","Derris benthamii","Derris benthamii var. benthamii (Thw.) Thw.","Papilionaceae","Derris benthamii (Thwaites) Thwaites",5350265,"EXACT",99,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Derris","Derris benthamii","Derris benthamii","(Thwaites) Thwaites","Derris benthamii"
"liana","Der bre","NA","Der bre","Derris brevipes","Derris brevipes (Benth.) Baker","Papilionaceae","Derris brevipes (Benth.) Baker",5350326,"EXACT",99,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Derris","Derris brevipes","Derris brevipes","(Benth.) Baker","Derris brevipes"
"liana","Der tri","NA","Der tri","Derris trifoliata","Derris trifoliata Lour.","Papilionaceae","Derris trifoliata Lour.",5350336,"EXACT",99,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Derris","Derris trifoliata","Derris trifoliata","Lour.","Derris trifoliata"
"liana","Ehr can","NA","Ehr can","Ehretia canarensis","Ehretia canarensis (Clarke) Gamble","Boraginaceae","Ehretia canarensis Miq. ex C.B.Clarke",4066978,"EXACT",97,"SYNONYM","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Boraginales","Ehretiaceae","Ehretia","Ehretia laevis","Ehretia canarensis","Miq. ex C.B.Clarke","Ehretia laevis"
"liana","Ela con","NA","Ela con","Elaeagnus conferta","Elaeagnus conferta Roxb. ","Elaeagnaceae","Elaeagnus conferta Roxb.",7293128,"EXACT",99,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Elaeagnaceae","Elaeagnus","Elaeagnus conferta","Elaeagnus conferta","Roxb.","Elaeagnus conferta"
"liana","Emb bas","NA","Emb bas","Embelia basaal","Embelia basaal A.DC. ","Myrsinaceae","Embelia basaal A.DC.",7331026,"EXACT",98,"SYNONYM","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ericales","Primulaceae","Embelia","Embelia tsjeriam-cottam","Embelia basaal","A.DC.","Embelia tsjeriam-cottam"
"liana","Ery pan","NA","Ery pan","Erycibe paniculata","Erycibe paniculata Roxb.","Convolvulaceae","Erycibe paniculata Roxb.",7324227,"EXACT",99,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","Erycibe","Erycibe paniculata","Erycibe paniculata","Roxb.","Erycibe paniculata"
"liana","Ery pop","NA","Ery pop","Erythropalum populifolium","Erythropalum populifolium (Arn.) Mast.","Erythropalaceae","Erythropalum populifolium Mast.",3685997,"EXACT",98,"SYNONYM","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Santalales","Erythropalaceae","Erythropalum","Erythropalum scandens","Erythropalum populifolium","Mast.","Erythropalum scandens"
"liana","Gne ula","NA","Gne ula","Gnetum ula","Gnetum ula Brongn.","Gnetaceae","Gnetum ula Brongn.",2653157,"EXACT",97,"SYNONYM","SPECIES","Plantae","Tracheophyta","Gnetopsida","Gnetales","Gnetaceae","Gnetum","Gnetum edule","Gnetum ula","Brongn.","Gnetum edule"
"liana","Gre rha","NA","Gre rha","Grewia rhamnifolia","Grewia rhamnifolia Heyne ex Roth","Tiliaceae","Grewia rhamnifolia B.Heyne ex Roth",4260718,"EXACT",97,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Grewia","Grewia rhamnifolia","Grewia rhamnifolia","B.Heyne ex Roth","Grewia rhamnifolia"
"liana","Hip ben","NA","Hip ben","Hiptage benghalensis","Hiptage benghalensis (L.) Kurz","Malpighiaceae","Hiptage benghalensis (L.) Kurz",3191302,"EXACT",98,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Malpighiaceae","Hiptage","Hiptage benghalensis","Hiptage benghalensis","(L.) Kurz","Hiptage benghalensis"
