WeirdSiteID,PlotID,Plant.year,Site_ID,Site_type,treespecies,gbh1,gbh2,gbh3,gbh4,gbh5,gbh6,gbh7,gbh8,gbh9,gbh10,gbh11,height,Notes
IPTOP,R04,2004,IPTO_04R,Restored,Clerodendrum infortunatum,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,
IPTOP,R04,2004,IPTO_04R,Restored,Clerodendrum infortunatum,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,
IPTOP,R04,2004,IPTO_04R,Restored,Maesa indica,28.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,
IPTOP,R04,2004,IPTO_04R,Restored,Litsea floribunda,35.0,27.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,
IPTOP,R04,2004,IPTO_04U,Unrestored,Maesa indica,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,
IPTOP,R04,2004,IPTO_04U,Unrestored,Clerodendrum infortunatum,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,
IPTOP,R04,2004,IPTO_04U,Unrestored,Clerodendrum infortunatum,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,
IPTOP,R04,2004,IPTO_04U,Unrestored,Litsea stocksii,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,
IPTOP,R04,2004,IPTO_04U,Unrestored,Maesa indica,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,
IPTOP,R04,2004,IPTO_04U,Unrestored,Clerodendrum infortunatum,18.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,
IPTOP,R04,2004,IPTO_04U,Unrestored,Ficus hispida,16.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,
IPTOP,R04,2004,IPTO_04U,Unrestored,Actinodaphne tadulingamii,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,
IPTOP,R04,2004,IPTO_04U,Unrestored,Clerodendrum infortunatum,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,
IPTOP,R04,2004,IPTO_04U,Unrestored,Acronychia pedunculata,20.0,79.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,
IPTOP,R04,2004,IPTO_04U,Unrestored,Clerodendrum infortunatum,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,
IPTOP,R04,2004,IPTO_04U,Unrestored,Clerodendrum infortunatum,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,
IPTOP,R04,2004,IPTO_04U,Unrestored,Maesa indica,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,
IPTOP,R04,2004,IPTO_04U,Unrestored,Clerodendrum infortunatum,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,
