observation_id,latitude,longitude,date_,time,place,type_of_observation,notes,photo,gps_altitude,gps_horizontal_accuracy,verbatimIdentification,scientificName,vernacularName,recordedBy,georeferenceRemarks,occurrenceID
7a4285cf-e2b3-4d6a-b367-1aef908812f2,10.37183483,76.92647984,2016-05-14,18:15:00,Anali,"Sighting,Sign - Vocalisation/Call",NA,NA,978,200,Nilgiri Langur,Semnopithecus johnii,Nilgiri langur,Divya Mudappa,Data collected on mobile phones | GPS vertical accuracy = 139 | GPS speed = -1 | GPS course =-1,urn:ncf:arp:7a4285cf-e2b3-4d6a-b367-1aef908812f2:sp1
7a4285cf-e2b3-4d6a-b367-1aef908812f2,10.37183483,76.92647984,2016-05-14,18:15:00,Anali,"Sighting,Sign - Vocalisation/Call",NA,NA,978,200,sloth bear,Melursus ursinus,Sloth bear,Divya Mudappa,Data collected on mobile phones | GPS vertical accuracy = 139 | GPS speed = -1 | GPS course =-1,urn:ncf:arp:7a4285cf-e2b3-4d6a-b367-1aef908812f2:sp2
2d25538e-97df-4470-b160-4f1ccd2d1390,10.35534021,76.94661299,2016-05-14,19:42:00,Old Valparai cattle shed,Sighting,5 sambar,NA,853,200,Sambar,Rusa unicolor,Sambar,Divya Mudappa,Data collected on mobile phones | GPS vertical accuracy = 32 | GPS speed = 0 | GPS course =-1,urn:ncf:arp:2d25538e-97df-4470-b160-4f1ccd2d1390:sp1
83af2513-472f-450a-882e-6c4c61d27035,10.35188327,76.96922754,2016-05-14,19:54:00,Iyerpadi,Sighting,NA,NA,1072,30,Mouse deer,Moschiola indica,Indian spotted chevrotain,Divya Mudappa,Data collected on mobile phones | GPS vertical accuracy = 24 | GPS speed = 4.12 | GPS course =104,urn:ncf:arp:83af2513-472f-450a-882e-6c4c61d27035:sp1
d9b45834-948c-44df-a701-3c6691a57fdc,10.33660561,76.93477901,2016-05-16,09:07:00,Selaliparai,Sighting,NA,NA,1070,10,Brown Mongoose,Herpestes fuscus,Brown mongoose,Divya Mudappa,Data collected on mobile phones | GPS vertical accuracy = 6 | GPS speed = 0 | GPS course =-1,urn:ncf:arp:d9b45834-948c-44df-a701-3c6691a57fdc:sp1
4130897f-55bf-4b8e-9934-9113dd0acd20,10.35078925,76.93529986,2016-05-16,09:25:00,Old Valparai,Sighting,NA,NA,1075,100,Nilgiri Langur,Semnopithecus johnii,Nilgiri langur,Divya Mudappa,Data collected on mobile phones | GPS vertical accuracy = 32 | GPS speed = 0 | GPS course =258,urn:ncf:arp:4130897f-55bf-4b8e-9934-9113dd0acd20:sp1
4130897f-55bf-4b8e-9934-9113dd0acd20,10.35078925,76.93529986,2016-05-16,09:25:00,Old Valparai,Sighting,NA,NA,1075,100,Malabar giant squirrel,Ratufa indica,Indian giant squirrel,Divya Mudappa,Data collected on mobile phones | GPS vertical accuracy = 32 | GPS speed = 0 | GPS course =258,urn:ncf:arp:4130897f-55bf-4b8e-9934-9113dd0acd20:sp2
604770b2-c8f4-4f84-a9de-121392d25c60,10.30180165,76.7489098,2016-05-16,14:32:00,Uralikal,Sighting,NA,NA,806,5,Brown Mongoose,Herpestes fuscus,Brown mongoose,Divya Mudappa,Data collected on mobile phones | GPS vertical accuracy = 6 | GPS speed = 0 | GPS course =178,urn:ncf:arp:604770b2-c8f4-4f84-a9de-121392d25c60:sp1
79afa17e-58b0-4a2c-a600-df82f9d91a3d,10.33025259,76.96002052,2016-05-21,23:55:00,Valparai--Cooperative Colony,Sign - Vocalisation/Call,NA,NA,1106,10,Sambar,Rusa unicolor,Sambar,Divya Mudappa,Data collected on mobile phones | GPS vertical accuracy = 32 | GPS speed = 0 | GPS course =313,urn:ncf:arp:79afa17e-58b0-4a2c-a600-df82f9d91a3d:sp1
1cc98e4c-b23c-44d8-813a-f62ea458395a,10.33022099,76.96000359,2016-05-22,17:45:00,Puthuthottam,Sighting,"Barking deer 2, ltm 2 troops - pap, first bus stop",NA,1125,10,Lion-tailed Macaque,Macaca silenus,Lion-tailed macaque,Divya Mudappa,Data collected on mobile phones | GPS vertical accuracy = 4 | GPS speed = 0 | GPS course =125,urn:ncf:arp:1cc98e4c-b23c-44d8-813a-f62ea458395a:sp1
1cc98e4c-b23c-44d8-813a-f62ea458395a,10.33022099,76.96000359,2016-05-22,17:45:00,Puthuthottam,Sighting,"Barking deer 2, ltm 2 troops - pap, first bus stop",NA,1125,10,barking deer,Muntiacus muntjak,Indian muntjac,Divya Mudappa,Data collected on mobile phones | GPS vertical accuracy = 4 | GPS speed = 0 | GPS course =125,urn:ncf:arp:1cc98e4c-b23c-44d8-813a-f62ea458395a:sp2
2f1febfe-878c-43ec-bb5e-5e3623963f75,10.33022099,76.96000359,2016-05-22,19:59:00,Iyerpadi,Sighting,NA,NA,1126,10,Stripe-necked Mongoose,Herpestes vitticollis,Stripe-necked mongoose,Divya Mudappa,Data collected on mobile phones | GPS vertical accuracy = 6 | GPS speed = 0 | GPS course =-1,urn:ncf:arp:2f1febfe-878c-43ec-bb5e-5e3623963f75:sp1
8cb9d32a-0de4-46fa-8267-edafa2bdf60e,10.33022099,76.96000359,2016-05-22,19:59:00,Puthuthottam,Sighting,NA,NA,1126,10,Sambar female,Rusa unicolor,Sambar,Divya Mudappa,Data collected on mobile phones | GPS vertical accuracy = 4 | GPS speed = 0 | GPS course =-1,urn:ncf:arp:8cb9d32a-0de4-46fa-8267-edafa2bdf60e:sp1
afbed3c0-a01f-471f-9c97-f7b16091343b,10.330313,76.95993815,2016-05-23,10:52:00,Valparai--Cooperative Colony,"Sighting,Sign - Vocalisation/Call",NA,NA,1123,165,Stripe-necked Mongoose,Herpestes vitticollis,Stripe-necked mongoose,Divya Mudappa,Data collected on mobile phones | GPS vertical accuracy = 32 | GPS speed = -1 | GPS course =-1,urn:ncf:arp:afbed3c0-a01f-471f-9c97-f7b16091343b:sp1
0ae486bf-5904-4c4b-ba34-39d2e4e234d0,10.35167116,76.96108293,2016-05-23,16:33:00,Lower Paralai,Sighting,NA,"c0ef6676-01c1-4a80-b8ce-27e919c828d8,acb961a0-bd28-4f87-a2de-18582c14b9a0,f83ae7d6-67c2-4761-9af9-585464dd36d2,b3e65f6a-2b6a-430e-8b7c-a4bbb9fb769f",1139,10,Gaur,Bos gaurus,Gaur,Divya Mudappa,Data collected on mobile phones | GPS vertical accuracy = 8 | GPS speed = 0 | GPS course =271,urn:ncf:arp:0ae486bf-5904-4c4b-ba34-39d2e4e234d0:sp1
92c6dfb1-3d83-4edc-891e-92724a0478cb,10.33025633,76.95996512,2016-05-23,23:37:00,Valparai--Cooperative Colony,Sign - Vocalisation/Call,Calling loudly,NA,1110,65,Leopard,Panthera pardus,Leopard,Divya Mudappa,Data collected on mobile phones | GPS vertical accuracy = 49 | GPS speed = -1 | GPS course =-1,urn:ncf:arp:92c6dfb1-3d83-4edc-891e-92724a0478cb:sp1
780e16b5-85a4-422b-892a-6e12db6cafa0,10.3631456,76.9773729,2016-05-25,00:26:00,Iyerpadi,Sighting,NA,NA,1070,200,Elephant,Elephas maximus,Asian elephant,Srinivasan Kasinathan,NA,urn:ncf:arp:780e16b5-85a4-422b-892a-6e12db6cafa0:sp1
22c264ff-d11f-4875-a780-5d75b66235d3,10.3530734,76.9492581,2016-05-25,09:21:00,Varattuparai,Sighting,4 monkeys,NA,NA,3838,Nilgiri Langur,Semnopithecus johnii,Nilgiri langur,Srinivasan Kasinathan,NA,urn:ncf:arp:22c264ff-d11f-4875-a780-5d75b66235d3:sp1
e6194037-e1d8-4a49-b5cc-a151137651dd,10.3369107,76.8957898,2016-05-25,09:38:00,Urulikal,Road Kill,One,NA,989,12,Dusky-striped Squirrel,Funambulus sublineatus,Dusky-striped Squirrel,Srinivasan Kasinathan,NA,urn:ncf:arp:e6194037-e1d8-4a49-b5cc-a151137651dd:sp1
