Date,Site_ID,Treatment,Species_name,Abun,Accept_name_WFO,Habit,Distribution,IUCN_status,wden_sps,Wden_final,seed_size,disperser,habt_new,ad_ht
2018-03-08T00:00:00Z,SEL1_07U,Fragment,Aglaia canarana,1,Aglaia lawii,Tree,Native,LC,0.595,0.595,L,Bird,Mature,30
2018-03-08T00:00:00Z,SEL1_07U,Fragment,Heynea trijuga,3,Heynea trijuga,Tree,Native,LC,0.493174229,0.493174229,M,Bird,Secondary,10
2018-03-08T00:00:00Z,SEL1_07U,Fragment,Tea sp.,1,NA sp.,Shrub,Native,NA,NA,NA,Unknown,Unknown,Unknown,NA
2018-03-08T00:00:00Z,SEL1_07U,Fragment,Maesa indica,3,Maesa indica,Tree,Native,LC,NA,NA,S,Mammal_bird,Secondary,4
2018-03-08T00:00:00Z,SEL2_07U,Fragment,Lantana camara,21,Lantana camara,Shrub,Introduced,NA,NA,NA,S,Mammal_bird,Int,5
2018-03-08T00:00:00Z,SEL2_07U,Fragment,Clerodendrum viscosum,19,Clerodendrum infortunatum,Tree,Native,LC,0.484259167,0.484259167,S,Bird,Secondary,4
2018-03-08T00:00:00Z,OLV1_10U,Fragment,Lantana camara,9,Lantana camara,Shrub,Introduced,NA,NA,NA,S,Mammal_bird,Int,5
2018-03-08T00:00:00Z,OLV1_10U,Fragment,Maesa indica,3,Maesa indica,Tree,Native,LC,NA,NA,S,Mammal_bird,Secondary,4
2018-03-08T00:00:00Z,OLV1_10U,Fragment,Clerodendrum viscosum,8,Clerodendrum infortunatum,Tree,Native,LC,0.484259167,0.484259167,S,Bird,Secondary,4
2018-03-17T00:00:00Z,HP40_05U,Fragment,Cinnamomum malabatrum,10,Cinnamomum malabathrum,Tree,Endemic,LC,NA,0.475,S,Bird,Secondary,15
2018-03-17T00:00:00Z,HP40_05U,Fragment,Sterculia guttata,7,Sterculia guttata,Tree,Native,NA,0.401092775,0.401092775,M,Mammal_bird,Secondary,20
2018-03-17T00:00:00Z,HP40_05U,Fragment,Diospyros sylvatica,10,Diospyros sylvatica,Tree,Endemic,NA,0.701678322,0.701678322,S,Mammal,Mature,35
2018-03-17T00:00:00Z,HP40_05U,Fragment,Syzygium densiflorum,3,Syzygium densiflorum,Tree,Endemic,VU,NA,0.68,M,Mammal_bird,Mature,15
2018-03-17T00:00:00Z,HP40_05U,Fragment,Atalantia racemosa,21,Atalantia racemosa,Tree,Endemic,LC,NA,NA,S,Mammal,Secondary,4
2018-03-17T00:00:00Z,HP40_05U,Fragment,Croton laccifer,4,Croton laccifer,Tree,Endemic,NA,NA,0.53,S,Gravity,Mature,10
2018-03-17T00:00:00Z,HP40_05U,Fragment,Syzygium cumini,3,Syzygium cumini,Tree,Native,LC,0.645435271,0.645435271,S,Mammal_bird,Secondary,20
2018-03-17T00:00:00Z,HP40_05U,Fragment,Nothapodytes nimmoniana,1,Mappia nimmoniana,Tree,Native,NA,NA,NA,M,Bird,Secondary,8
2018-03-17T00:00:00Z,HP40_05U,Fragment,Heritiera papilio,3,Heritiera papilio,Tree,Native,NA,NA,0.688,M,Wind,Mature,30
2018-03-17T00:00:00Z,HP40_05U,Fragment,Glochidion malabaricum,1,Phyllanthus assamicus,Tree,Endemic,LC,0.544681677,0.544681677,S,Gravity,Mature,8
2018-03-17T00:00:00Z,HP40_05U,Fragment,Murraya paniculata,1,Murraya paniculata,Tree,Native,NA,0.867,0.867,S,Bird,Secondary,12
2018-03-17T00:00:00Z,HP40_05U,Fragment,Neolitsea sp.,4,Neolitsea sp.,Tree,Native,NA,NA,0.535334221,S,Bird,Mature,NA
2018-03-17T00:00:00Z,HP40_05U,Fragment,Lantana camara,3,Lantana camara,Shrub,Introduced,NA,NA,NA,S,Mammal_bird,Int,5
2018-03-17T00:00:00Z,IPCO_07U,Fragment,Clerodendrum viscosum,7,Clerodendrum infortunatum,Tree,Native,LC,0.484259167,0.484259167,S,Bird,Secondary,4
2018-03-17T00:00:00Z,IPCO_07U,Fragment,Glochidion malabaricum,1,Phyllanthus assamicus,Tree,Endemic,LC,0.544681677,0.544681677,S,Gravity,Mature,8
2018-03-17T00:00:00Z,IPCO_07U,Fragment,Lantana camara,3,Lantana camara,Shrub,Introduced,NA,NA,NA,S,Mammal_bird,Int,5
2018-03-17T00:00:00Z,IPCO_07U,Fragment,Ficus hispida,1,Ficus hispida,Tree,Native,LC,0.413,0.413,S,Mammal,Secondary,10
2018-03-17T00:00:00Z,IPCO_07U,Fragment,Debregesia longifolia,1,Debregeasia longifolia,Tree,Native,LC,NA,NA,S,Bird,Secondary,5
2018-03-17T00:00:00Z,IPCO_07U,Fragment,Maesa indica,1,Maesa indica,Tree,Native,LC,NA,NA,S,Mammal_bird,Secondary,4
2018-03-19T00:00:00Z,IPTO_04U,Fragment,Maesa indica,14,Maesa indica,Tree,Native,LC,NA,NA,S,Mammal_bird,Secondary,4
2018-03-19T00:00:00Z,IPTO_04U,Fragment,Lepisanthes deficiens,2,Lepisanthes tetraphylla,Tree,Endemic,LC,0.81,0.81,L,Mammal,Mature,5
2018-03-19T00:00:00Z,IPTO_04U,Fragment,Ficus hispida,9,Ficus hispida,Tree,Native,LC,0.413,0.413,S,Mammal,Secondary,10
2018-03-19T00:00:00Z,IPTO_04U,Fragment,Atalantia racemosa,23,Atalantia racemosa,Tree,Endemic,LC,NA,NA,S,Mammal,Secondary,4
2018-03-19T00:00:00Z,IPTO_04U,Fragment,Clerodendrum viscosum,6,Clerodendrum infortunatum,Tree,Native,LC,0.484259167,0.484259167,S,Bird,Secondary,4
2018-03-19T00:00:00Z,IPTO_04U,Fragment,Cinnamomum malabatrum,1,Cinnamomum malabathrum,Tree,Endemic,LC,NA,0.475,S,Bird,Secondary,15
2018-03-19T00:00:00Z,IPTO_04U,Fragment,Litsea floribunda,1,Litsea floribunda,Tree,Endemic,NT,0.56358678,0.56358678,S,Bird,Secondary,10
2018-03-19T00:00:00Z,IPTO_04U,Fragment,Lantana camara,2,Lantana camara,Shrub,Introduced,NA,NA,NA,S,Mammal_bird,Int,5
2018-03-19T00:00:00Z,IPTO_05U,Fragment,Ficus hispida,18,Ficus hispida,Tree,Native,LC,0.413,0.413,S,Mammal,Secondary,10
2018-03-19T00:00:00Z,IPTO_05U,Fragment,Litsea oleoides,1,Litsea oleoides,Tree,Endemic,NA,NA,0.42,M,Bird,Mature,12
2018-03-19T00:00:00Z,IPTO_05U,Fragment,Persea macrantha,2,Machilus glaucescens,Tree,Endemic,NA,0.427,0.427,S,Bird,Secondary,30
2018-03-19T00:00:00Z,IPTO_05U,Fragment,Maesa indica,7,Maesa indica,Tree,Native,LC,NA,NA,S,Mammal_bird,Secondary,4
2018-03-19T00:00:00Z,IPTO_05U,Fragment,Heritiera papilio,1,Heritiera papilio,Tree,Native,NA,NA,0.688,M,Wind,Mature,30
2018-03-19T00:00:00Z,IPTO_05U,Fragment,Clerodendrum viscosum,3,Clerodendrum infortunatum,Tree,Native,LC,0.484259167,0.484259167,S,Bird,Secondary,4
2018-03-19T00:00:00Z,IPTO_05U,Fragment,Atalantia racemosa,8,Atalantia racemosa,Tree,Endemic,LC,NA,NA,S,Mammal,Secondary,4
2018-03-19T00:00:00Z,IPTO_05U,Fragment,Murraya paniculata,1,Murraya paniculata,Tree,Native,NA,0.867,0.867,S,Bird,Secondary,12
2018-03-19T00:00:00Z,IPTO_05U,Fragment,Lepisanthes deficiens,5,Lepisanthes tetraphylla,Tree,Endemic,LC,0.81,0.81,L,Mammal,Mature,5
2018-03-19T00:00:00Z,IPTO_05U,Fragment,Epiprinus mallotiformis,1,Epiprinus mallotiformis,Tree,Endemic,NA,NA,NA,S,Gravity,Mature,12
2018-03-19T00:00:00Z,IPTO_06U,Fragment,Lantana camara,28,Lantana camara,Shrub,Introduced,NA,NA,NA,S,Mammal_bird,Int,5
2018-03-19T00:00:00Z,IPTO_06U,Fragment,Maesa indica,29,Maesa indica,Tree,Native,LC,NA,NA,S,Mammal_bird,Secondary,4
2018-03-19T00:00:00Z,IPTO_06U,Fragment,Diospyros sylvatica,1,Diospyros sylvatica,Tree,Endemic,NA,0.701678322,0.701678322,S,Mammal,Mature,35
2018-03-19T00:00:00Z,IPTO_06U,Fragment,Atalantia racemosa,11,Atalantia racemosa,Tree,Endemic,LC,NA,NA,S,Mammal,Secondary,4
2018-03-14T00:00:00Z,HP36_P1B,Benchmark,Dimocarpus longan,47,Dimocarpus longan,Tree,Native,DD,0.748685273,0.748685273,S,Mammal,Mature,25
2018-03-14T00:00:00Z,HP36_P1B,Benchmark,Litsea stocksii,16,Litsea stocksii,Tree,Endemic,NT,NA,0.42,M,Bird,Mature,8
2018-03-14T00:00:00Z,HP36_P1B,Benchmark,Microtropis wallichiana,8,Microtropis wallichiana,Tree,Native,NA,NA,0.54,S,Mammal_bird,Mature,15
2018-03-14T00:00:00Z,HP36_P1B,Benchmark,Beilschmiedia wightii,4,Beilschmiedia wightii,Tree,Endemic,NT,NA,0.495,L,Bird,Mature,25
2018-03-14T00:00:00Z,HP36_P1B,Benchmark,Leea indica,2,Leea indica,Tree,Native,LC,0.483333,0.483333,S,Unknown,Secondary,5
2018-03-14T00:00:00Z,HP36_P1B,Benchmark,Croton zeylanicus,13,Croton zeylanicus,Tree,Endemic,NA,NA,0.53,S,Gravity,Mature,4
2018-03-14T00:00:00Z,HP36_P1B,Benchmark,Palaquium ellipticum,17,Palaquium ellipticum,Tree,Endemic,NA,0.55093772,0.55093772,L,Mammal,Mature,35
2018-03-14T00:00:00Z,HP36_P1B,Benchmark,Cryptocarya wightiana,2,Cryptocarya wightiana,Tree,Native,VU,NA,0.515,M,Bird,Mature,25
2018-03-14T00:00:00Z,HP36_P1B,Benchmark,Syzygium densiflorum,9,Syzygium densiflorum,Tree,Endemic,VU,NA,0.68,M,Mammal_bird,Mature,15
2018-03-14T00:00:00Z,HP36_P1B,Benchmark,Ardisia pauciflora,3,Ardisia pauciflora,Tree,Endemic,NA,NA,0.62,S,Bird,Mature,6
2018-03-14T00:00:00Z,HP36_P1B,Benchmark,Mesua ferrea,2,Mesua ferrea,Tree,Native,NA,0.9,0.9,L,Gravity,Mature,35
2018-03-14T00:00:00Z,HP36_P1B,Benchmark,Murraya paniculata,2,Murraya paniculata,Tree,Native,NA,0.867,0.867,S,Bird,Secondary,12
2018-03-14T00:00:00Z,HP36_P1B,Benchmark,Agrostistachys indica,1,Agrostistachys indica,Tree,Native,LC,0.5590085,0.5590085,S,Gravity,Mature,5
2018-03-14T00:00:00Z,HP36_P1B,Benchmark,Myristica dactyloides,3,Myristica beddomei,Tree,Endemic,EN,0.575521845,0.575521845,L,Bird,Mature,20
2018-03-14T00:00:00Z,HP36_P1B,Benchmark,Diospyros sylvatica,2,Diospyros sylvatica,Tree,Endemic,NA,0.701678322,0.701678322,S,Mammal,Mature,35
2018-03-14T00:00:00Z,HP36_P1B,Benchmark,Psychotria anamallayana,1,Psychotria anamallayana,Tree,Endemic,NA,NA,0.45,S,Mammal_bird,Mature,4
2018-03-14T00:00:00Z,HP36_P1B,Benchmark,Aglaia simplicifolia,6,Aglaia simplicifolia,Tree,Native,NT,0.680036834,0.680036834,L,Bird,Mature,6
2018-03-14T00:00:00Z,HP36_P1B,Benchmark,Clerodendrum viscosum,1,Clerodendrum infortunatum,Tree,Native,LC,0.484259167,0.484259167,S,Bird,Secondary,4
2018-03-14T00:00:00Z,HP36_P1B,Benchmark,Mesua ferrea,3,Mesua ferrea,Tree,Native,NA,0.9,0.9,L,Gravity,Mature,35
2018-03-14T00:00:00Z,HP36_P1B,Benchmark,Litsea floribunda,2,Litsea floribunda,Tree,Endemic,NT,0.56358678,0.56358678,S,Bird,Secondary,10
2018-03-14T00:00:00Z,HP36_P1B,Benchmark,Actinodaphne malabarica,1,Actinodaphne wightiana,Tree,Endemic,LC,0.619460212,0.619460212,S,Bird,Secondary,12
2018-03-14T00:00:00Z,HP36_P1B,Benchmark,Maesa indica,1,Maesa indica,Tree,Native,LC,NA,NA,S,Mammal_bird,Secondary,4
2018-03-14T00:00:00Z,HP36_P1B,Benchmark,Litsea oleoides,2,Litsea oleoides,Tree,Endemic,NA,NA,0.42,M,Bird,Mature,12
2018-03-14T00:00:00Z,HP36_P1B,Benchmark,Meliosma sp.,1,Meliosma sp.,Tree,Native,NA,NA,0.504,S,Bird,NA,NA
2018-03-14T00:00:00Z,HP36_P1B,Benchmark,Atalantia racemosa,2,Atalantia racemosa,Tree,Endemic,LC,NA,NA,S,Mammal,Secondary,4
2018-03-14T00:00:00Z,HP36_P1B,Benchmark,Calophyllum polyanthum,1,Calophyllum polyanthum,Tree,Native,NA,0.447545977,0.447545977,L,Mammal,Mature,35
2018-03-14T00:00:00Z,HP36_P2B,Benchmark,Palaquium ellipticum,54,Palaquium ellipticum,Tree,Endemic,NA,0.55093772,0.55093772,L,Mammal,Mature,35
2018-03-14T00:00:00Z,HP36_P2B,Benchmark,Dimocarpus longan,8,Dimocarpus longan,Tree,Native,DD,0.748685273,0.748685273,S,Mammal,Mature,25
2018-03-14T00:00:00Z,HP36_P2B,Benchmark,Unidentified,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-14T00:00:00Z,HP36_P2B,Benchmark,Cinnamomum malabatrum,38,Cinnamomum malabathrum,Tree,Endemic,LC,NA,0.475,S,Bird,Secondary,15
2018-03-14T00:00:00Z,HP36_P2B,Benchmark,Cryptocarya wightiana,2,Cryptocarya wightiana,Tree,Native,VU,NA,0.515,M,Bird,Mature,25
2018-03-14T00:00:00Z,HP36_P2B,Benchmark,Beilschmiedia wightii,3,Beilschmiedia wightii,Tree,Endemic,NT,NA,0.495,L,Bird,Mature,25
2018-03-14T00:00:00Z,HP36_P2B,Benchmark,Croton zeylanicus,4,Croton zeylanicus,Tree,Endemic,NA,NA,0.53,S,Gravity,Mature,4
2018-03-14T00:00:00Z,HP36_P2B,Benchmark,Litsea stocksii,6,Litsea stocksii,Tree,Endemic,NT,NA,0.42,M,Bird,Mature,8
2018-03-14T00:00:00Z,HP36_P2B,Benchmark,Cullenia exarillata,2,Cullenia exarillata,Tree,Endemic,NA,NA,0.55,L,Gravity,Mature,40
2018-03-14T00:00:00Z,HP36_P2B,Benchmark,Diospyros sylvatica,3,Diospyros sylvatica,Tree,Endemic,NA,0.701678322,0.701678322,S,Mammal,Mature,35
2018-03-14T00:00:00Z,HP36_P2B,Benchmark,Nothopegia beddomei,1,Nothopegia beddomei,Tree,Endemic,EN,0.734771295,0.734771295,S,Mammal,Secondary,12
