date,year,month,day,precipitation,maxTemp,minTemp,temperature,maxRH,minRH,humidity,maxwind,minwind,windspeed,maxgust,mingust,gustspeed,maxdew,mindew,dewpoint,maxRad,minRad,radiance,daylight
2016-04-21,2016,4,21,0,30.95,19.484,23.82409375,99.8,66.2,89.08125,0.5900793650793651,0,0.05200314153439152,3.825039682539683,-1.9825411154020653e-17,0.9275285218253969,22.48831111111111,9.605577777777778,14.222279034391535,1131.2,1.2,288.4916666666667,12.5
2016-04-22,2016,4,22,0,34.413,19.032,24.6400625,100,56,84.82291666666667,0.544404761904762,0,0.04663897156084655,3.7697420634920635,-1.9825411154020653e-17,0.9053569361772488,21.787739682539684,8.997222222222222,13.589744246031746,2113.7,1.2,464.92395833333336,12.5
2016-04-23,2016,4,23,0,33.287,18.057,24.252416666666665,99.1,62.6,86.55208333333333,0.49043650793650795,0,0.0436090443121693,3.6906547619047623,-1.9825411154020653e-17,0.8852248677248679,21.00279365079365,8.288155555555555,12.916762136243387,2121.2,1.2,381.825,12.5
2016-04-24,2016,4,24,3.2,33.678,19.389,24.568489583333335,99.9,63.1,88.73125,0.48625000000000007,0,0.03878100198412697,3.695059523809524,-1.9825411154020653e-17,0.8903346147486774,20.307101587301588,7.658431746031745,12.402698048941799,1863.7,1.2,409.45520833333336,12.75
2016-04-25,2016,4,25,0,30.824,20.055,24.480854166666667,100,74.2,90.86354166666666,0.4829166666666667,0,0.035576430224867714,3.6184523809523808,-1.9825411154020653e-17,0.8651858052248678,19.631838095238095,7.066998412698412,11.777061375661376,1256.2,1.2,295.2104166666667,12.75
2016-04-26,2016,4,26,0,33.417,19.199,24.932166666666667,100,49.6,83.196875,0.4742857142857143,0,0.03210648148148147,3.5795238095238098,-1.9825411154020653e-17,0.8660052910052911,18.94044285714286,6.4969714285714275,11.30053125,2158.7,1.2,533.309375,12.5
2016-04-27,2016,4,27,0,30.9,19.246,23.9934375,99.6,58.1,86.31041666666667,0.47031746031746036,0,0.029882605820105806,3.4512698412698413,-1.9825411154020653e-17,0.8723346560846562,18.91512857142857,6.509157142857142,11.330352083333334,1766.2,1.2,353.36145833333336,12.5
2016-04-28,2016,4,28,0,31.74,18.985,23.855572916666667,100,56.2,85.45416666666667,0.45047619047619053,0,0.0314996693121693,3.3953968253968254,-1.9825411154020653e-17,0.8886954365079366,18.4483,6.4980714285714285,11.294337202380953,1683.7,1.2,353.153125,12.75
2016-04-29,2016,4,29,0,30.545,19.294,23.59490625,98.3,58.8,85.4375,0.4860317460317461,0,0.03341600529100528,3.4312698412698412,-1.9825411154020653e-17,0.9123693783068784,18.468657142857143,6.498371428571429,11.294684821428572,1558.7,1.2,297.3979166666667,12.75
2016-04-30,2016,4,30,0,31.868,18.866,24.326854166666667,99.8,47.9,81.02395833333334,0.477936507936508,0,0.03399305555555555,3.4636507936507934,-1.9825411154020653e-17,0.942084986772487,18.482742857142856,6.547757142857143,11.268880952380952,2053.7,1.2,499.090625,12.75
2016-05-01,2016,5,1,0,35.502,19.318,25.295479166666667,98.7,53.1,82.971875,0.47000000000000003,0,0.036570767195767184,3.555555555555556,-1.9825411154020653e-17,0.9588194444444446,19.100642857142855,6.524128571428571,11.228210416666668,2158.7,1.2,494.2729166666667,12.5
2016-05-02,2016,5,2,0,33.469,18.699,24.816260416666665,99.5,54.6,83.334375,0.46587301587301594,0,0.03852182539682538,3.6274603174603177,-1.9825411154020653e-17,0.9887053571428572,19.53092857142857,6.390885714285714,11.143671726190476,2143.7,1.2,423.12708333333336,12.5
2016-05-03,2016,5,3,0,34.308,18.414,24.985583333333334,98.5,44.3,76.58229166666666,0.506031746031746,0,0.04454695767195766,3.8193650793650797,0.007936507936507917,1.0077761243386243,19.999657142857142,6.3458428571428565,11.16040267857143,2146.2,1.2,506.6947916666667,12.75
2016-05-04,2016,5,4,0,31.791,17.629,23.462572916666666,99.5,44.5,79.89479166666666,0.497936507936508,0,0.04803736772486771,3.8633333333333333,0.007936507936507917,1.0228389550264552,20.023342857142858,6.456371428571429,11.286520535714287,2173.7,1.2,321.9291666666667,12.75
