plot_id,plot_label,comparison_class,latitude,longitude,canopy_cover_percent,distance_to_protected_area_m,adult_tree_count_per_0.04ha_plot,adult_tree_species_richness,adult_old_growth_species_richness,adult_introduced_species_richness,adult_threatened_or_endemic_species_richness,adult_medium_large_animal_dispersed_species_richness,adult_basal_area_per_ha,adult_aboveground_carbon_per_ha,adult_mean_wood_density,adult_mean_height,regeneration_individual_count_per_0.04ha_plot,regeneration_tree_species_richness,regeneration_old_growth_species_richness,regeneration_introduced_species_richness,regeneration_threatened_or_endemic_species_richness,regeneration_medium_large_animal_dispersed_species_richness,regeneration_mean_wood_density
K08,Candura,Fragment,10.30855,76.83392,90,460.343625779737,25,10,6,1,7,2,31.818057279252837,99.28187647500182,0.42042670544000005,17.4,42,6,3,0,3,1,0.5035791481666667
L07,Candura,Fragment,10.30766,76.833,90,360.282451266986,21,9,4,1,5,2,23.69399320912705,96.53678920139629,0.46091906914285713,18.952380952380953,101,28,17,2,21,13,0.5499001764615385
J06,Candura,Fragment,10.30674,76.83482,60,574.556009386181,27,11,4,3,4,1,58.67406132025816,200.33416147876352,0.4348580351111111,22.48148148148148,38,17,9,0,11,7,0.499996669882353
F03,Candura,Fragment,10.30401,76.83846,75,430.510383427721,14,4,2,0,1,0,14.001059287472902,28.17457135273511,0.35650000000000004,15.214285714285714,71,18,11,0,9,9,0.5144109753333334
L05,Candura,Fragment,10.30585,76.83299,NA,417.985197760979,24,10,6,1,4,5,42.315320494557696,137.10139273343611,0.4131808342916667,27,140,23,15,0,17,9,0.5562462419545455
E04,Candura,Fragment,10.30491,76.83938,65,549.58985814229,28,6,3,0,2,0,47.56305685565519,112.88432865228263,0.36538573446428574,19.678571428571427,23,7,4,0,5,1,0.5744773372857143
D02,Candura,Fragment,10.30309,76.84028,65,407.232093926357,14,11,5,1,5,2,90.90592145154993,355.3914971516167,0.4350549873571429,26.428571428571427,127,13,6,0,7,5,0.5805435450833333
J12,Candura,Fragment,10.31216,76.83845,80,850.776754762998,21,7,0,4,3,0,21.077883832054027,47.89632581668868,0.43301928723809524,24.047619047619047,47,15,7,1,7,4,0.48971772413333337
N12,Candura,Fragment,10.31219,76.8312,100,84.3507674303588,18,12,9,1,9,3,39.216175865200746,155.097750945834,0.5556296064444445,20.88888888888889,127,14,8,1,13,3,0.6176003660833334
M12,Candura,Fragment,10.31218,76.83211,80,181.582345096483,33,11,5,1,5,3,33.54906622905609,84.55818647390004,0.48232472833333334,11.090909090909092,104,21,13,1,13,8,0.528508735
K12,Candura,Fragment,10.31217,76.83394,75,376.854965238744,13,9,5,1,4,2,11.549078445463385,40.342758292757445,0.4549499236153846,17.1,80,11,6,2,7,3,0.5365212224
N13,Candura,Fragment,10.31309,76.82121,100,61.2967736703455,11,10,6,0,6,1,28.24681929994958,104.88749018673977,0.48234845454545455,20.818181818181817,153,27,18,1,20,5,0.5491035702
