plot_id,plot_label,comparison_class,latitude,longitude,canopy_cover_percent,distance_to_protected_area_m,adult_tree_count_per_0.04ha_plot,adult_tree_species_richness,adult_old_growth_species_richness,adult_introduced_species_richness,adult_threatened_or_endemic_species_richness,adult_medium_large_animal_dispersed_species_richness,adult_basal_area_per_ha,adult_aboveground_carbon_per_ha,adult_mean_wood_density,adult_mean_height,regeneration_individual_count_per_0.04ha_plot,regeneration_tree_species_richness,regeneration_old_growth_species_richness,regeneration_introduced_species_richness,regeneration_threatened_or_endemic_species_richness,regeneration_medium_large_animal_dispersed_species_richness,regeneration_mean_wood_density
M13,Candura,Fragment,10.31308,76.83212,100,159.185426661792,11,7,3,2,2,3,21.52689971525201,81.89248313061177,0.4238063792727273,24.272727272727273,81,17,10,1,13,5,0.5470708009375
L13,Candura,Fragment,10.31308,76.83303,80,254.167875797032,13,7,1,3,2,0,16.281202526862877,36.48182443753165,0.38823991446153844,25.818181818181817,633,1,0,1,1,0,
N11,Candura,Fragment,10.31128,76.8312,65,107.66086678758,9,6,2,2,3,0,7.571199586560322,16.375403159022163,0.44318951866666667,24,160,15,10,1,11,4,0.5123556827142857
M11,Candura,Fragment,10.31128,76.83211,95,204.636576283342,23,10,4,2,7,1,17.669779669419963,43.451363331425135,0.5135196730869566,16.954545454545453,82,17,12,1,11,5,0.567666409
L11,Candura,Fragment,10.31127,76.83302,100,301.868429124934,17,9,3,1,5,2,28.129641473098175,91.40515810035761,0.43350417288235293,24.875,264,15,8,2,8,2,0.5347269955714286
J11,Candura,Fragment,10.31126,76.83485,75,497.141600062697,19,7,1,3,4,0,12.358779218443395,19.98351073536026,0.4247027918947368,18.9375,30,6,3,1,5,1,0.5068617674
B02,Candura,Fragment,10.30308,76.8421,70,543.363052022858,12,6,3,1,3,3,13.612323338970942,24.783046427367736,0.40858333333333335,24,12,3,0,2,2,0,0.523153404
C02,Candura,Fragment,10.30309,76.84119,95,472.543147969207,22,8,3,2,2,2,81.41153332140286,220.1351452376694,0.4419686136363636,22.272727272727273,26,9,2,1,4,2,0.5038641393333333
E02,Candura,Fragment,10.3031,76.83936,100,358.724830240608,22,10,3,2,4,1,29.066069369515095,79.49571640420747,0.44944909818181816,20.818181818181817,25,11,5,1,6,2,0.5171540161818181
F02,Candura,Fragment,10.3031,76.83845,90,331.836583395017,12,4,1,1,1,0,15.39227243377494,36.79613192926318,0.35125,23.166666666666668,10,4,2,1,3,0,0.50917984475
C01,Candura,Fragment,10.3021,76.84118,85,396.047823529765,10,4,0,2,1,0,19.78833090565194,48.442484174584,0.4108923108,17.9,20,8,1,3,2,0,0.5342915848571429
B01,Candura,Fragment,10.30218,76.8421,90,481.994241303218,7,5,2,2,1,1,13.46808917179391,42.96198701938504,0.4129506785714286,29.285714285714285,73,8,3,0,5,2,0.507171766125
A01,Candura,Fragment,10.30217,76.84301,100,553.04795810372,23,4,0,2,0,0,41.26111794025274,119.51608906088387,0.45891304347826084,18.47826086956522,7,3,0,1,2,1,0.5738200706666666
H03,Candura,Fragment,10.30402,76.83663,75,335.06864490863,19,8,4,1,4,2,28.73343553845306,75.13779002286712,0.4080798879473684,20.789473684210527,7,6,3,0,3,2,0.4866624656666667
G03,Candura,Fragment,10.30401,76.83754,75,385.341128644253,15,8,2,2,3,1,33.85603632554456,106.78499869584688,0.42939880059999996,25.266666666666666,34,12,5,1,8,2,0.49892626215384617
E03,Candura,Fragment,10.304,76.83937,65,452.620928882981,19,11,5,2,5,2,78.21629889515415,281.72630996190816,0.4502031764210527,20.22222222222222,78,15,7,1,7,6,0.5054185002857142
D03,Candura,Fragment,10.304,76.84028,25,492.391368606982,7,5,2,2,2,1,24.499118277493217,59.50388735394074,0.4328602635714286,27.857142857142858,12,4,1,1,1,1,0.5424867373333333
C03,Candura,Fragment,10.30399,76.8412,50,547.447034110481,17,7,2,1,3,1,27.76557454077545,53.68364264053716,0.3858823529411765,17.941176470588236,25,9,2,1,4,2,0.507662449125
I03,Candura,Fragment,10.30402,76.83572,100,306.681008456588,45,11,5,0,6,2,35.36661567916552,78.48538192594994,0.3823332728,15.511111111111111,48,17,10,0,11,6,0.5001118558125
H04,Candura,Fragment,10.30492,76.83664,90,428.399167260158,23,12,6,2,5,4,26.908326228546738,66.04334650899561,0.41988513917391307,18.608695652173914,95,24,13,1,12,6,0.516070193875
G04,Candura,Fragment,10.30492,76.83755,90,469.721231475536,4,3,2,1,1,1,14.770175549964476,54.405088387865,0.5959136875,19,21,8,3,0,4,2,0.575798047
F04,Candura,Fragment,10.30491,76.83846,55,526.049750911913,8,7,3,1,2,1,18.295855426807666,39.88875795495941,0.43370979025,29.5,14,4,0,0,3,0,0.53557653975
G07,Candura,Fragment,10.30763,76.83756,100,744.669387204099,20,7,2,2,3,0,33.81346237826749,102.71910944378327,0.3736839161,27.35,58,11,5,1,3,4,0.49214070245454544
F05,Candura,Fragment,10.30582,76.83847,60,607.571786758768,12,7,2,1,3,0,15.018457261187839,29.404599496254207,0.3965,18.916666666666668,87,14,8,0,8,5,0.515250041
G05,Candura,Fragment,10.30582,76.83755,90,558.049570192316,15,10,3,1,4,3,23.485102346318932,81.75979891285559,0.4399528744666667,17.933333333333334,22,8,3,0,4,3,0.575798047
G06,Candura,Fragment,10.30673,76.83756,50,651.063035430502,14,9,1,1,5,2,28.118500627081744,72.23530788519494,0.4705201352857143,15.928571428571429,44,9,3,1,7,4,0.524721714
L06,Candura,Fragment,10.30765,76.833,65,360.393432294476,9,6,2,0,5,1,19.016031544298503,50.43096460357172,0.5393137295555556,22.88888888888889,40,11,8,2,9,2,0.5852568723
H07,Candura,Fragment,10.30763,76.83665,70,718.713189118681,15,12,4,3,6,4,23.084031889727356,48.71856524761457,0.4517321371333333,18.066666666666666,4,4,2,0,2,1,0.426112972
I06,Candura,Fragment,10.30674,76.83573,100,602.499442745131,39,8,1,3,2,1,37.50108240970669,81.67943277020696,0.5054383244358974,15.820512820512821,12,9,5,0,5,3,0.5293497682222222
L04,Candura,Fragment,10.30494,76.83298,100,328.856440467545,21,10,4,1,5,5,30.45628779742284,97.14060277953108,0.40892394804761906,20.428571428571427,124,22,11,0,13,9,0.5556836355454545
